Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="D-ID",="https://finder.startupnationcentral.org/company_page/de-identification",="Creative AI Solution",="Content & Media",="2017",="51-200",="B",
="Fiverr",="https://finder.startupnationcentral.org/company_page/fiverr",=" Marketplace for Freelance Services",="Retail & Marketing",="2010",="500+",="Public",
="Wix",="https://finder.startupnationcentral.org/company_page/wix",="Cloud-based Web Development and Design Platform",="Content & Media",="2006",="500+",="Public",
="Faception",="https://finder.startupnationcentral.org/company_page/faception",="Facial Personality Analytics",="Security Technologies",="2014",="11-50",="A",
="SimilarWeb",="https://finder.startupnationcentral.org/company_page/similarweb",="Web Analytics and Competitive Intelligence","Enterprise, IT & Data Infrastructure",="2007",="500+",="Public",
="BrandTotal",="https://finder.startupnationcentral.org/company_page/brandtotal",="Social Competitive Intelligence ","Enterprise, IT & Data Infrastructure",="2016",="1-10",="B",
="MyHeritage",="https://finder.startupnationcentral.org/company_page/myheritage",="Genetic Ancestry Research",="Content & Media",="2003",="500+",="Acquired",
="Cybereason",="https://finder.startupnationcentral.org/company_page/cybereason",="Unified Cyberattack Protection",="Security Technologies",="2012",="500+",="G",
="Augury",="https://finder.startupnationcentral.org/company_page/augury",="Predictive and Prescriptive AI for Industrial Manufacturing",="Industrial Technologies",="2012",="201-500",="E",
="Ola Mundo",="https://finder.startupnationcentral.org/company_page/ola-mundo",="Symbol-based Communication App for Nonverbal Children",="Life Sciences & HealthTech",="2011",="1-10",="Mature",
="nT-Tao Compact Fusion Power",="https://finder.startupnationcentral.org/company_page/nt-tao-compact-fusion-power",="Compact Fusion Power Solution",="Energy-tech",="2019",="11-50",="A",
="Paragon",="https://finder.startupnationcentral.org/company_page/paragon",="Smartphone Surveillance Solutions for Government Agencies",="Security Technologies",="2019",="51-200",="Seed",
="eToro",="https://finder.startupnationcentral.org/company_page/etoro",="Social Trading Network",="FinTech",="2006",="500+",="E",
="CleanFlare",="https://finder.startupnationcentral.org/company_page/cleanflare",="Flare Stack Monitoring and Control System",="Industrial Technologies",="2021",="1-10",="Pre-Seed",
="K Health",="https://finder.startupnationcentral.org/company_page/kang-health",="AI Personal Health Assistant",="Life Sciences & HealthTech",="2016",="201-500",="E",
="Pipl",="https://finder.startupnationcentral.org/company_page/pipl",="Personal Data Collection and Management",="Security Technologies",="2004",="51-200",="Mature",
="Copyleaks",="https://finder.startupnationcentral.org/company_page/copyleaks",="Plagiarism Detector Software","Enterprise, IT & Data Infrastructure",="2011",="11-50",="A",
="Moovit",="https://finder.startupnationcentral.org/company_page/moovit",="Live Transport App with Maps ",="Smart Mobility",="2011",="201-500",="Acquired",
="DEEL",="https://finder.startupnationcentral.org/company_page/deel",="Payroll and Compliance for International Teams",="FinTech",="2018",="500+",="D",
="Viber",="https://finder.startupnationcentral.org/company_page/viber",="Free and Secure Messaging and Calls",="Content & Media",="2010",="500+",="Acquired",
="Payoneer Global",="https://finder.startupnationcentral.org/company_page/payoneer",="Global Payment Solutions ",="FinTech",="2005",="500+",="Public",
="Remilk",="https://finder.startupnationcentral.org/company_page/remilk",="Animal-free Dairy Products",="AgriFood-tech & Water",="2019",="51-200",="B",
="Tabnine",="https://finder.startupnationcentral.org/company_page/codota",="AI-powered Code Completion Tool for Software Developers","Enterprise, IT & Data Infrastructure",="2013",="11-50",="B",
="SolarEdge",="https://finder.startupnationcentral.org/company_page/solaredge",="Distributed Solar Power Harvesting and Module-level PV Monitoring",="Energy-tech",="2006",="500+",="Public",
="Dream Security",="https://finder.startupnationcentral.org/company_page/dream-security",="Cybersecurity Solutions for Critical Infrastructure",="Security Technologies",="2022",="11-50",="Pre-Seed",
="Taranis",="https://finder.startupnationcentral.org/company_page/taranis",="AI-powered Crop Intelligence Solutions",="AgriFood-tech & Water",="2014",="51-200",="D",
="Watergen",="https://finder.startupnationcentral.org/company_page/water-gen",="Atmospheric Water Generator",="AgriFood-tech & Water",="2009",="51-200",="Acquired",
="Loora",="https://finder.startupnationcentral.org/company_page/loora",="Personal AI English Tutor",="Content & Media",="2020",="11-50",="Seed",
="3DBattery",="https://finder.startupnationcentral.org/company_page/3d-battery",="Solid Cell Technology for Rechargeable Microbatteries",="Energy-tech",="2017",="11-50",="Seed",
="Via",="https://finder.startupnationcentral.org/company_page/via",="Urban Transportation Optimization Platform",="Smart Mobility",="2012",="500+",="G",
="WiFi Map",="https://finder.startupnationcentral.org/company_page/wifi-map",="Crowdsourced Wi-Fi Locator App",="Retail & Marketing",="2014",="11-50",="Pre-Funding",
="Bancor",="https://finder.startupnationcentral.org/company_page/bancor",="Decentralized Liquidity Network",="FinTech",="2016",="51-200",="Pre-Funding",
="TIPA",="https://finder.startupnationcentral.org/company_page/tipa",="Compostable Flexible Packaging",="Industrial Technologies",="2010",="51-200",="C",
="Sufresca",="https://finder.startupnationcentral.org/company_page/sufresca",="Natural Edible Coatings for Fresh Fruits and Vegetables",="AgriFood-tech & Water",="2020",="11-50",="Seed",
="TytoCare",="https://finder.startupnationcentral.org/company_page/tytocare",="Remote Primary Care and a Home Smart Clinic",="Digital Health",="2012",="201-500",="D",
="GIGABLUE",="https://finder.startupnationcentral.org/company_page/gigablue",="Ocean-based Carbon Dioxide Removal and Storage",="Industrial Technologies",="2022",="11-50",="Seed",
="Itamar Medical",="https://finder.startupnationcentral.org/company_page/itamar-medical",="Home Sleep Testing and Endothelial Function Assessment ",="Life Sciences & HealthTech",="1997",="201-500",="Mature",
="Waze",="https://finder.startupnationcentral.org/company_page/waze",="Community-based Traffic and Navigation App",="Smart Mobility",="2007",="500+",="Acquired",
="BeeHero",="https://finder.startupnationcentral.org/company_page/beehero",="Precision Pollination as a Service",="Yield Optimization & Harvest",="2017",="51-200",="B",
="Nanox Vision",="https://finder.startupnationcentral.org/company_page/nanox-vision",="Medical Imaging Technology and Solutions",="Life Sciences & HealthTech",="2018",="51-200",="Public",
="monday.com",="https://finder.startupnationcentral.org/company_page/dapulse",="Work Management Platform for Teams","Enterprise, IT & Data Infrastructure",="2012",="500+",="Public",
="MineOS",="https://finder.startupnationcentral.org/company_page/mineos",="Data Privacy Platform",="Security Technologies",="2018",="11-50",="A",
="AI21 Labs",="https://finder.startupnationcentral.org/company_page/ai211",="AI-based Writing Solution","Enterprise, IT & Data Infrastructure",="2017",="51-200",="C",
="H2Pro",="https://finder.startupnationcentral.org/company_page/h2pro",="Hydrogen Fuel Production Technology",="Energy-tech",="2019",="51-200",="B",
="NitroFix",="https://finder.startupnationcentral.org/company_page/nitrofix",="Generating Zero-carbon Emissions Ammonia",="Energy-tech",="2022",="1-10",="Seed",
="Carbon Twist",="https://finder.startupnationcentral.org/company_page/carbon-twist",="Methane Removal",="Industrial Technologies",="2023",="1-10",="Seed",
="Astria",="https://finder.startupnationcentral.org/company_page/astria",="AI Image Generator",="Content & Media",="2022",="1-10",="Pre-Funding",
="Hyro",="https://finder.startupnationcentral.org/company_page/airbud-technologies",="Plug-and-play Conversational AI and Natural Language Automation",="Retail & Marketing",="2018",="51-200",="B",
="Tomorrow.io",="https://finder.startupnationcentral.org/company_page/tomorrow-io",="AI-powered Weather Intelligence Platform","Enterprise, IT & Data Infrastructure",="2016",="201-500",="E",
="Lemonade",="https://finder.startupnationcentral.org/company_page/lemonade",="AI-driven Insurance Provider",="FinTech",="2015",="500+",="Public",
